id,name,description,image,price,ingredients,category
11,Bánh Mì Thịt,"Bánh mì baguette giòn rụm, kẹp bên trong là lớp pate béo ngậy, thịt nguội hoặc chả lụa, kèm theo rau dưa chua, dưa leo, rau thơm và nước sốt đặc trưng. Tiện lợi, nhanh gọn và giàu năng lượng.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704365/B%C3%A1nh_M%C3%AC_Th%E1%BB%8Bt_v4rr7f.jpg,30000,"Bánh mì, pate, chả lụa/thịt nguội, dưa leo, đồ chua (cà rốt, củ cải), rau mùi, nước tương, ớt.",Bữa sáng tiện lợi
12,Bún Riêu,"Món bún nước với hương vị đặc trưng từ riêu cua đồng – vị chua nhẹ từ cà chua và mắm tôm. Ăn kèm đậu hũ chiên, huyết heo, hành lá, rau sống. Vị thanh, chua nhẹ và đậm đà.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704365/B%C3%BAn_Ri%C3%AAu_hgokko.jpg,50000,"Bún, cua đồng xay, cà chua, đậu hũ, huyết heo, hành lá, mắm tôm, rau sống.",Bữa sáng tiện lợi
13,Bánh Cuốn,"Lớp bánh mỏng làm từ bột gạo tráng mỏng, cuốn nhân thịt băm và mộc nhĩ, ăn kèm chả lụa, hành phi, rau thơm và nước mắm pha. Món ăn nhẹ bụng nhưng đầy hương vị.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704366/B%C3%A1nh_Cu%E1%BB%91n_wwoapo.jpg,30000,"Bột gạo, thịt heo băm, mộc nhĩ, hành phi, chả lụa, nước mắm chua ngọt, rau sống.",Bữa sáng tiện lợi
14,Bánh Bao,"Bánh bao hấp với lớp vỏ mềm, trắng mịn, nhân thịt heo băm nhuyễn, trứng cút, mộc nhĩ và đôi khi có miến. Tiện lợi, dễ mang đi và có thể ăn nóng bất kỳ lúc nào.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704366/B%C3%A1nh_Bao_hxhlbo.jpg,30000,"Bột mì, thịt heo, trứng cút, mộc nhĩ, hành khô, gia vị.",Bữa sáng tiện lợi
15,Bún Thịt Nướng,"Bún ăn khô với thịt heo được ướp ngọt rồi nướng than thơm lừng, ăn kèm rau sống, dưa leo, đồ chua và chan nước mắm chua ngọt. Có thể thêm chả giò hoặc nem nướng.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704366/B%C3%BAn_Th%E1%BB%8Bt_N%C6%B0%E1%BB%9Bng_x0nttg.jpg,45000,"Bún, thịt heo nướng, rau sống, dưa leo, đồ chua, nước mắm pha, hành phi, đậu phộng rang.",Bữa sáng tiện lợi
16,Bánh Canh Cua,"Nổi bật với nước lèo sánh nhẹ, nấu từ cua tươi, xương heo và gạch cua béo ngậy. Sợi bánh canh là bột lọc hoặc bột gạo, có độ dai và mềm vừa phải. Bên trên là chả cua, tôm, trứng cút, rau răm, hành lá và ớt sa tế. ",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704366/B%C3%A1nh_Canh_Cua_xuzaot.jpg,50000,"Bánh canh, cua, gạch cua, chả cua, trứng cút và rau sống ăn kèm",Bữa sáng tiện lợi
17,Súp Cua,"Súp có dạng sánh mịn nhờ bột năng, kết hợp với thịt cua thật, trứng cút, lòng trắng trứng gà khuấy tan, nấm tuyết và ngô ngọt. Được nêm nếm với xíu tiêu, giấm ớt, nước tương và rắc thêm rau ngò hoặc ngò rí để tăng hương vị. ",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704366/S%C3%BAp_Cua_qa09qs.jpg,30000,"Thịt cua, trứng cút, lòng trắng trứng, nấm tuyết, bắp ngọt, bột năng, ngò rí, gia vị.",Bữa sáng tiện lợi
18,Xôi Gà,"Xôi Gà với gạo nếp được đồ chín mềm dẻo, thơm béo từ nước luộc gà hoặc nước cốt dừa. Gà có thể là thịt luộc, xé nhỏ hoặc đùi gà chiên giòn. Topping đi kèm gồm hành phi vàng ruộm, mỡ hành béo, có nơi thêm chà bông, pate hoặc trứng chiên.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704365/X%C3%B4i_G%C3%A0_wzz88t.jpg,40000,"Gạo nếp, thịt gà (luộc/chiên/xé), hành phi, mỡ hành, nước dừa (tùy nơi), chà bông (tuỳ chọn), gia vị.",Bữa sáng tiện lợi
19,Cháo Sườn,"Gạo được xay nhuyễn rồi nấu với sườn non cho đến khi cháo sánh mịn, thơm béo từ nước hầm xương. Món thường ăn kèm quẩy chiên giòn, rắc tiêu, hành lá, đôi khi có ruốc heo hoặc trứng muối.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704365/Ch%C3%A1o_S%C6%B0%E1%BB%9Dn_adkuj8.jpg,40000,"Gạo tẻ xay nhuyễn, sườn non, nước hầm xương, hành lá, tiêu, quẩy, gia vị.",Bữa sáng tiện lợi
20,Bún Chả,"Bún ăn kèm chả viên và chả miếng nướng, nước mắm chua ngọt.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704549/B%C3%BAn_Ch%E1%BA%A3_a0glkw.jpg,45000,"Bún, thịt heo xay, thịt heo miếng, nước mắm, gia vị",Bữa trưa dinh dưỡng
21,Cơm Tấm Sườn,"Cơm gạo tấm ăn kèm sườn heo nướng, bì, chả trứng.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704549/C%C6%A1m_T%E1%BA%A5m_S%C6%B0%E1%BB%9Dn_v32v3e.jpg,60000,"Gạo tấm, sườn heo, bì heo, trứng, nước mắm",Bữa trưa dinh dưỡng
22,Bún Bò Huế,"Bún nước cay đậm hương sả và mắm ruốc, có giò heo và thịt bò.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704548/B%C3%BAn_B%C3%B2_Hu%E1%BA%BF_ie4nkb.jpg,50000,"Bún, xương heo, sả, mắm ruốc, thịt bò, giò heo",Bữa trưa dinh dưỡng
23,Cao Lầu,"Mì đặc sản Hội An, nước dùng nhẹ, tóp mỡ, thịt heo và rau sống.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704548/Cao_L%E1%BA%A7u_zcqewf.jpg,60000,"Mì quảng, nước dùng, tóp mỡ, thịt heo, trứng, rau sống",Bữa trưa dinh dưỡng
24,Cơm Gà Hải Nam,Cơm gà luộc kiểu Hải Nam ăn kèm nước chấm gừng.,https://res.cloudinary.com/dai92e7cq/image/upload/v1746704547/C%C6%A1m_G%C3%A0_H%E1%BA%A3i_Nam_tnruwg.jpg,60000,"Gà luộc, gừng, tỏi, gạo, gia vị",Bữa trưa dinh dưỡng
25,Hủ Tiếu Nam Vang,"Hủ tiếu nước cốt xương, tôm, thịt heo, ăn kèm rau sống.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704547/H%E1%BB%A7_Ti%E1%BA%BFu_Nam_Vang_xza9dy.jpg,55000,"Hủ tiếu, xương heo, tôm, thịt heo, rau sống",Bữa trưa dinh dưỡng
26,Chả Cá Lã Vọng,"Cá chiên sốt mắm thơm vàng, ăn cùng cơm.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704547/Ch%E1%BA%A3_C%C3%A1_L%C3%A3_V%E1%BB%8Dng_ibbjey.jpg,35000,"Cá, mắm, đường, tiêu, gia vị",Bữa trưa dinh dưỡng
27,Thịt Kho Tàu,"Thịt ba chỉ kho kèm trứng cút, nước hàng đậm đà.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704546/Th%E1%BB%8Bt_Kho_T%C3%A0u_hhqhzs.jpg,35000,"Thịt ba chỉ, trứng cút, nước hàng, gia vị",Bữa trưa dinh dưỡng
28,Bò Lúc Lắc,Bò xào chảo nóng với hành tây và ớt xanh.,https://res.cloudinary.com/dai92e7cq/image/upload/v1746704546/B%C3%B2_L%C3%BAc_L%E1%BA%AFc_m7bxeh.jpg,65000,"Thịt bò, hành tây, ớt, tỏi, dầu ăn",Bữa trưa dinh dưỡng
29,Canh Chua,"Canh chua cá lóc với dọc mùng, thơm và cà chua.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704545/Canh_Chua_lebzwl.jpg,40000,"Cá lóc, dọc mùng, thơm, cà chua, me, gia vị",Bữa trưa dinh dưỡng
30,Cá Kho Tộ,"Cá kho tộ đậm vị nước mắm và tiêu, kho trong niêu đất.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704545/C%C3%A1_Kho_T%E1%BB%99_kytyfl.jpg,35000,"Cá, mắm, đường, tiêu, hành lá",Bữa trưa dinh dưỡng
31,Mì Quảng,"Mì Quảng đậm vị miền Trung, kèm trứng, tôm, thịt và bánh tráng.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704545/M%C3%AC_Qu%E1%BA%A3ng_oggnpg.jpg,60000,"Mì quảng, gạo, tôm, thịt, bánh tráng, rau sống",Bữa trưa dinh dưỡng
32,Bún Mắm,"Bún mắm miền Tây, nước dùng mắm đặc trưng, hải sản và rau.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704544/B%C3%BAn_M%E1%BA%AFm_mf411u.jpg,50000,"Bún, mắm, hải sản, rau sống",Bữa trưa dinh dưỡng
33,Cháo Cá Lóc,"Cháo loãng nấu từ gạo tẻ, cá lóc được làm sạch xương, ăn kèm hành ngò, tiêu và đôi khi có gừng để tăng vị cay ấm.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704544/Ch%C3%A1o_C%C3%A1_L%C3%B3c_kpyhrf.jpg,50000,"Gạo tẻ, cá lóc, hành, ngò, tiêu, gừng",Bữa trưa dinh dưỡng
34,Cơm Gà Xối Mỡ,"Gà được chiên bằng cách xối mỡ để tạo lớp da vàng bóng, giòn rụm. Cơm chiên mỡ gà thơm phức, thường ăn kèm dưa leo, cà chua, đồ chua và nước mắm tỏi ớt pha chua ngọt.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704543/C%C6%A1m_G%C3%A0_X%E1%BB%91i_M%E1%BB%A1_bycjc0.jpg,45000,"Đùi gà hoặc cánh gà, gạo tẻ, mỡ gà, tỏi, nước mắm, đường, giấm, dưa leo, đồ chua, hành tím, gia vị.",Bữa trưa dinh dưỡng
35,Mì Xào Hải Sản,"Mì gói được xào kết hợp cùng hải sản tươi như tôm, mực, nghêu và rau cải xanh, hành tây. Món ăn dậy mùi tỏi phi, nước sốt đậm vị, tạo cảm giác vừa thơm vừa ngậy. ",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704543/M%C3%AC_X%C3%A0o_H%E1%BA%A3i_S%E1%BA%A3n_dzmdfn.jpg,40000,"Mì trứng, tôm, mực, hành tây, cải thìa hoặc cải ngọt, tỏi, nước tương, dầu hào, tiêu, gia vị.",Bữa trưa dinh dưỡng
36,Nui Xào Bò,"Nui luộc chín vừa xào cùng thịt bò mềm được ướp gia vị, cà chua và hành tây. Món ăn có vị chua nhẹ từ cà chua, vị ngọt từ thịt và độ dẻo của nui, tạo nên hương vị hài hòa, dễ ăn và dễ tiêu hóa.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704543/Nui_X%C3%A0o_B%C3%B2_yuceem.jpg,40000,"Nui, thịt bò, cà chua, hành tây, tỏi, nước tương, dầu hào, tiêu, gia vị.",Bữa trưa dinh dưỡng
37,Cơm Chiên Dương Châu,"Cơm được chiên tơi với trứng, cà rốt, đậu Hà Lan, tôm và lạp xưởng. Màu sắc bắt mắt, hương vị đậm đà, ăn kèm nước tương hoặc tương ớt. ",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704542/C%C6%A1m_Chi%C3%AAn_D%C6%B0%C6%A1ng_Ch%C3%A2u_ewsspi.jpg,35000,"Cơm nguội, trứng, tôm, lạp xưởng, cà rốt, đậu Hà Lan, hành lá, tỏi, dầu ăn, nước tương.",Bữa trưa dinh dưỡng
38,Sườn Xào Chua Ngọt,"Sườn non chặt khúc nhỏ, chiên sơ rồi xào với nước sốt chua ngọt làm từ giấm, đường, nước mắm và tương cà. Món ăn có vị chua nhẹ, ngọt dịu, thịt sườn mềm. ",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704542/S%C6%B0%E1%BB%9Dn_X%C3%A0o_Chua_Ng%E1%BB%8Dt_whdqql.jpg,35000,"Sườn non, giấm, đường, nước mắm, tỏi, hành tím, tương cà, nước lọc, gia vị.",Bữa trưa dinh dưỡng
39,Gà Xào Sả Ớt,"Thịt gà được chặt nhỏ, xào săn với sả băm và ớt tươi tạo hương vị cay nồng và thơm phức. Món ăn có màu vàng óng, vị cay the kích thích vị giác.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704541/G%C3%A0_X%C3%A0o_S%E1%BA%A3_%E1%BB%9At_uuclas.jpg,35000,"Thịt gà (đùi hoặc ức), sả băm, ớt tươi, hành tím, nước mắm, tiêu, đường, dầu ăn, gia vị.",Bữa trưa dinh dưỡng
40,Cơm trắng,"Được nấu từ gạo tẻ thơm, hạt cơm chín đều, dẻo nhẹ nhưng không nhão, giữ nguyên hương vị tự nhiên của gạo.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704541/C%C6%A1m_tr%E1%BA%AFng_dulgge.jpg,5000,"Gạo tẻ (loại thơm ngon như ST25, gạo nàng thơm), nước lọc, một ít muối (nếu cần).",Bữa trưa dinh dưỡng
41,Cà phê sữa đá,"Cà phê pha phin truyền thống, hòa cùng sữa đặc béo ngậy, đá mát lạnh, vị đậm đà đặc trưng – thức uống sáng khoái, đậm chất Việt Nam.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704699/C%C3%A0_ph%C3%AA_s%E1%BB%AFa_%C4%91%C3%A1_yhyd4e.jpg,25000,"Cà phê phin, sữa đặc, đá",Đồ uống tươi mát
42,Cà phê đen đá,"Cà phê phin nguyên chất, không đường, vị đắng sâu và thơm nồng, pha với đá lạnh – lựa chọn lý tưởng cho người yêu vị cà phê nguyên bản.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704699/C%C3%A0_ph%C3%AA_%C4%91en_%C4%91%C3%A1_khv2ue.jpg,20000,"Cà phê phin, nước nóng, đá",Đồ uống tươi mát
43,Cà phê trứng,"Cà phê nóng kết hợp lòng đỏ trứng đánh bông với đường và sữa, tạo lớp kem béo mịn, thơm ngậy – món uống độc đáo nổi tiếng từ Hà Nội.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704698/C%C3%A0_ph%C3%AA_tr%E1%BB%A9ng_k01xnm.jpg,40000,"Cà phê phin, lòng đỏ trứng, sữa đặc",Đồ uống tươi mát
44,Trà đá,"Trà xanh pha loãng, thêm đá mát lạnh, vị thanh nhẹ – giải khát đơn giản, phổ biến từ quán cóc đến nhà hàng.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704697/Tr%C3%A0_%C4%91%C3%A1_zwwyhj.jpg,10000,"Trà xanh hoặc trà đen, nước, đá",Đồ uống tươi mát
45,Trà đào,"Trà đen ngọt nhẹ kết hợp miếng đào ngâm giòn thơm, vị trái cây hài hòa – thức uống dễ uống, được giới trẻ yêu thích.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704697/Tr%C3%A0_%C4%91%C3%A0o_zsj8ys.jpg,25000,"Trà đen, siro đào, đào ngâm, đường, đá",Đồ uống tươi mát
46,Trà tắc (quất),"Trà xanh pha tắc tươi, thêm chút đường và đá lạnh, vị chua nhẹ, thanh mát – giúp giải nhiệt, tốt cho tiêu hóa.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704696/Tr%C3%A0_t%E1%BA%AFc_qu%E1%BA%A5t_bkjxob.jpg,25000,"Trà đen, tắc (quất), đường, đá",Đồ uống tươi mát
47,Nước mía,"Nước mía ép tươi từ cây mía nguyên chất, ngọt thanh, mát lạnh – giúp giải khát nhanh chóng trong những ngày nắng nóng.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704695/N%C6%B0%E1%BB%9Bc_m%C3%ADa_gkkjjs.jpg,20000,"Mía tươi, đá",Đồ uống tươi mát
48,Nước dừa tươi,"Nước dừa xiêm mát lạnh, thanh ngọt tự nhiên, cung cấp điện giải và dưỡng chất – thức uống bổ dưỡng, tốt cho sức khỏe.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704694/N%C6%B0%E1%BB%9Bc_d%E1%BB%ABa_t%C6%B0%C6%A1i_iapfd5.jpg,30000,"Dừa tươi, đá",Đồ uống tươi mát
49,Sữa đậu nành,"Đậu nành xay nhuyễn, nấu chín và lọc kỹ, vị béo nhẹ, thơm dịu – giàu đạm thực vật, phù hợp mọi lứa tuổi.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704694/S%E1%BB%AFa_%C4%91%E1%BA%ADu_n%C3%A0nh_qvpj8q.jpg,20000,"Sữa đậu nành, đường, đá",Đồ uống tươi mát
50,Nước rau má,"Rau má tươi xay nhuyễn, pha loãng và thêm đường nhẹ, vị hơi đắng nhưng mát gan, giải nhiệt và làm đẹp da.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704693/N%C6%B0%E1%BB%9Bc_rau_m%C3%A1_ojc3wl.jpg,25000,"Rau má, đường, đá",Đồ uống tươi mát
51,Sinh tố bơ,"Bơ sáp chín xay cùng sữa đặc, sữa tươi và đá, sánh mịn, béo thơm – món uống giàu năng lượng và vitamin.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704692/Sinh_t%E1%BB%91_b%C6%A1_cn8cjl.jpg,35000,"Bơ chín, sữa đặc, đá",Đồ uống tươi mát
52,Sinh tố xoài,"Xoài chín xay nhuyễn với sữa và đá, ngọt thanh, chua nhẹ – món sinh tố hấp dẫn, tốt cho tiêu hóa và làn da.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704691/Sinh_t%E1%BB%91_xo%C3%A0i_iyarrt.jpg,35000,"Xoài chín, sữa đặc, đá",Đồ uống tươi mát
53,Sinh tố dâu,"Dâu tây tươi xay cùng sữa, vị chua ngọt hài hòa, màu sắc bắt mắt – thức uống bổ sung vitamin C, giúp làm đẹp da.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704691/Sinh_t%E1%BB%91_d%C3%A2u_akgwwy.jpg,40000,"Dâu tây, sữa đặc, đá",Đồ uống tươi mát
54,Nước ép cam,"Cam tươi vắt trực tiếp, không chất bảo quản, vị ngọt mát giàu vitamin C – giúp tăng sức đề kháng và làm dịu cổ họng.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704690/N%C6%B0%E1%BB%9Bc_%C3%A9p_cam_cqxm2f.jpg,30000,"Cam tươi, mật ong (tùy chọn), đá",Đồ uống tươi mát
55,Nước ép dưa hấu,"Dưa hấu đỏ mọng xay mịn, lọc kỹ, vị ngọt thanh tự nhiên – thức uống mát lành, giải nhiệt và bổ sung nước hiệu quả.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704689/N%C6%B0%E1%BB%9Bc_%C3%A9p_d%C6%B0a_h%E1%BA%A5u_byvrxg.jpg,25000,"Dưa hấu, đường (tùy chọn), đá",Đồ uống tươi mát
56,Nước ép cà rốt,"Cà rốt tươi ép lấy nước, thêm chút đường hoặc cam, vị ngọt nhẹ – giàu vitamin A, tốt cho mắt và làn da.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704689/N%C6%B0%E1%BB%9Bc_%C3%A9p_c%C3%A0_r%E1%BB%91t_x5l5lo.jpg,30000,"Cà rốt, táo hoặc cam, đá",Đồ uống tươi mát
57,Nước ép cần tây,"Cần tây ép tươi nguyên chất, vị đặc trưng hơi hăng nhẹ, thường kết hợp táo hoặc dưa leo – detox cơ thể, giảm mỡ, làm đẹp da.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704688/N%C6%B0%E1%BB%9Bc_%C3%A9p_c%E1%BA%A7n_t%C3%A2y_ja9amf.jpg,35000,"Cần tây, táo hoặc dứa (tùy chọn), đá",Đồ uống tươi mát
58,Nước ép táo,"Táo tươi ép nguyên chất, không chất bảo quản, vị ngọt thanh nhẹ – thức uống giàu chất chống oxy hóa, tốt cho tim mạch và hệ tiêu hóa.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704688/N%C6%B0%E1%BB%9Bc_%C3%A9p_t%C3%A1o_lcoivg.jpg,30000,"Táo tươi, cà rốt (tùy chọn), đá",Đồ uống tươi mát
59,Nước ép dứa (thơm),"Dứa chín ép lấy nước, vị chua ngọt tự nhiên, thêm đá mát lạnh – giàu enzyme bromelain, hỗ trợ tiêu hóa và kháng viêm.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704687/N%C6%B0%E1%BB%9Bc_%C3%A9p_d%E1%BB%A9a_th%C6%A1m_cc7kbj.jpg,25000,"Dứa tươi, đường (tùy chọn), đá",Đồ uống tươi mát
60,Nước ép chanh leo,"Chanh leo chua nhẹ pha loãng với đường, lọc hạt, thơm đặc trưng – thức uống mát lạnh giúp giải nhiệt và tăng sức đề kháng.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704686/N%C6%B0%E1%BB%9Bc_%C3%A9p_chanh_leo_j8vklf.jpg,25000,"Chanh leo, đường, đá",Đồ uống tươi mát
61,Gỏi Cuốn,"Gỏi cuốn là món cuốn mát lạnh gồm tôm, thịt, bún và rau sống gói trong bánh tráng mỏng, chấm mắm nêm hoặc nước tương đậu phộng, mang hương vị thanh đạm, tươi ngon và dễ ăn.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746705449/G%E1%BB%8Fi_Cu%E1%BB%91n_nhejvm.jpg,30000,"Bánh tráng, tôm, thịt heo, bún, rau sống, đậu phộng",Snack bar
62,Bánh Xèo,"Bánh xèo vàng giòn với nhân tôm, thịt, giá đỗ, được đổ trên chảo nóng, ăn kèm rau sống và nước mắm pha chua ngọt – món ăn dân dã nhưng đậm đà vị miền Nam.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746705420/B%C3%A1nh_X%C3%A8o_brtb69.jpg,20000,"Bột gạo, tôm, thịt heo, giá đỗ, dầu ăn",Snack bar
63,Nem Rán,"Nem rán (chả giò) cuốn bằng bánh đa nem, nhân thịt băm, miến, mộc nhĩ, cà rốt rồi chiên giòn, thơm phức, chấm nước mắm pha – món ngon truyền thống không thể thiếu trong mâm cơm Việt.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746705420/Nem_R%C3%A1n_c5hec2.jpg,30000,"Bánh tráng, thịt heo xay, miến, nấm mèo, cà rốt",Snack bar
64,Bánh Khọt,"Bánh khọt nhỏ tròn được đúc từ bột gạo, nhân tôm tươi, bên trên là mỡ hành, chiên giòn, ăn kèm rau sống và nước mắm – món ăn đường phố đậm vị miền Tây.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746705419/B%C3%A1nh_Kh%E1%BB%8Dt_svyssk.jpg,20000,"Bột gạo, tôm, dầu ăn, hành lá",Snack bar
65,Bánh Bèo,"Bánh bèo chén nhỏ, làm từ bột gạo hấp chín, bên trên rắc tôm cháy, hành phi và tóp mỡ, dùng kèm nước mắm pha – vị bùi, béo, mặn ngọt hòa quyện hấp dẫn.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746705418/B%C3%A1nh_B%C3%A8o_ywhhbh.jpg,20000,"Bột gạo, tôm, thịt, hành phi",Snack bar
